"dept_norm","body_norm","mwmi_dept","mwmi_body"
"education","standards and testing agency","Department for Education","Standards and Testing Agency"
"education","student loans company ltd","Department for Education","Student Loans Company Ltd"
"education","teaching regulation agency","Department for Education","Teaching Regulation Authority"
"education","teaching regulation agency","Department for Education","Teaching Regulation Agency"
"education","teaching regulation authourity","Department for Education","Teaching Regulation Authourity"
"energy security and net zero","civil nuclear police authority","Department for Energy Security and Net Zero","Civil Nuclear Police Authority"
"energy security and net zero","coal authority","Department for Energy Security and Net Zero","Coal Authority"
"energy security and net zero","committee on climate change","Department for Energy Security and Net Zero","Committee on Climate Change"
"energy security and net zero","energy security and net zero","Department for Energy Security and Net Zero","Department for Energy Security and Net Zero"
"energy security and net zero","mining remediation authority","Department for Energy Security and Net Zero","Mining Remediation Authority"
"energy security and net zero","north sea transitory authority","Department for Energy Security and Net Zero","North Sea Transitory Authority"
"energy security and net zero","nuclear decommissioning authority","Department for Energy Security and Net Zero","Nuclear Decommissioning Authority"
"energy security and net zero","ukaea","Department for Energy Security and Net Zero","UKAEA"
"environment food and rural affairs","agriculture and horticulture development board","Department for Environment Food and Rural Affairs","Agriculture and Horticulture Development Board"
"environment food and rural affairs","animal and plant health agency","Department for Environment Food and Rural Affairs","Animal and Plant Health Agency"
"environment food and rural affairs","centre for environment fisheries and aquaculture science","Department for Environment Food and Rural Affairs","Centre for Environment Fisheries and Aquaculture Science"
"environment food and rural affairs","consumer council for water","Department for Environment Food and Rural Affairs","Consumer Council for Water"
"environment food and rural affairs","environment agency","Department for Environment Food and Rural Affairs","Environment Agency"
"environment food and rural affairs","environment food and rural affairs","Department for Environment Food and Rural Affairs","Department for Environment Food and Rural Affairs"
"environment food and rural affairs","joint nature conservation committee","Department for Environment Food and Rural Affairs","Joint Nature Conservation Committee"
"environment food and rural affairs","marine management organisation","Department for Environment Food and Rural Affairs","Marine Management Organisation"
"environment food and rural affairs","national forest company","Department for Environment Food and Rural Affairs","National Forest Company"
"environment food and rural affairs","natural england","Department for Environment Food and Rural Affairs","Natural England"
"environment food and rural affairs","office for environmental protection","Department for Environment Food and Rural Affairs","Office for Environmental Protection"
"environment food and rural affairs","royal botanic gardens kew","Department for Environment Food and Rural Affairs","Royal Botanic Gardens Kew"
"environment food and rural affairs","rural payments agency","Department for Environment Food and Rural Affairs","Rural Payments Agency"
"environment food and rural affairs","sea fish industry authority","Department for Environment Food and Rural Affairs","Sea Fish Industry Authority"
"environment food and rural affairs","veterinary medicines directorate","Department for Environment Food and Rural Affairs","Veterinary Medicines Directorate"
"export credits guarantee department","export credits guarantee department","Department for Business and Trade","UK Export Finance"
"food standards agency","food standards agency","Food Standards Agency","Food Standards Agency"
"foreign commonwealth and development office","british council","Foreign Commonwealth and Development Office","British Council"
"foreign commonwealth and development office","fcdo services","Foreign Commonwealth and Development Office","FCDO Services"
"foreign commonwealth and development office","foreign commonwealth and development office","Foreign Commonwealth and Development Office","Foreign Commonwealth and Development Office"
"foreign commonwealth and development office","great britain china centre","Foreign Commonwealth and Development Office","Great Britain - China Centre"
"foreign commonwealth and development office","independent commission for aid impact","Foreign Commonwealth and Development Office","Independent Commission for Aid Impact"
"foreign commonwealth and development office","westminster foundation for democracy","Foreign Commonwealth and Development Office","Westminster Foundation for Democracy"
"foreign commonwealth and development office","wilton park executive agency","Foreign Commonwealth and Development Office","Wilton Park Executive Agency"
"health and social care","care quality commission","Department of Health and Social Care","Care Quality Commission"
"health and social care","health and social care","Department of Health and Social Care","Department of Health and Social Care (excl agencies)"
"health and social care","health and social care","Department of Health and Social Care","Department of Health and Social Care (excluding agencies)"
"health and social care","health research authority","Department of Health and Social Care","Health Research Authority"
"health and social care","health services safety investigations body","Department of Health and Social Care","Health Services Safety Investigations Body"
"health and social care","human fertilisation and embryology authority","Department of Health and Social Care","Human Fertilisation and Embryology Authority"
"health and social care","human tissue authority","Department of Health and Social Care","Human Tissue Authority"
"health and social care","medicines and healthcare products regulatory agency","Department of Health and Social Care","Medicines and Healthcare products Regulatory Agency"
"health and social care","national institute for health and care excellence","Department of Health and Social Care","National Institute for Health and Care Excellence"
"health and social care","nhs blood and transplant","Department of Health and Social Care","NHS Blood and Transplant"
"health and social care","nhs business services authority","Department of Health and Social Care","NHS Business Services Authority"
"health and social care","nhs counter fraud authority","Department of Health and Social Care","NHS Counter Fraud Authority"
"health and social care","nhs england","Department of Health and Social Care","NHS England"
"health and social care","nhs resolution","Department of Health and Social Care","NHS Resolution"
"health and social care","uk health security agency","Department of Health and Social Care","UK Health Security Agency"
"hm land registry","hm land registry","Ministry of Housing Communities and Local Government","Land Registry"
"hm land registry","hm land registry","Department for Levelling Up Housing and Communities","Land Registry"
"hm land registry","hm land registry","Ministry of Housing Communities and Local Government","HM Land Registry"
"hm revenue and customs","hm revenue and customs","HM Revenue and Customs","HM Revenue and Customs"
"hm revenue and customs","valuation office agency","HM Revenue and Customs","Valuation Office"
"hm revenue and customs","valuation office agency","HM Revenue and Customs","Valuation Office Agency"
"hm treasury","government internal audit agency","HM Treasury","Government Internal Audit Agency"
"hm treasury","hm treasury","HM Treasury","HM Treasury"
"hm treasury","national infrastructure commission","HM Treasury","National Infrastructure Commission"
"hm treasury","office for budget responsibility","HM Treasury","Office of Budget Responsibility"
"hm treasury","uk government investments","HM Treasury","UK Government Investments"
"home office","disclosure and barring service","Home Office","Disclosure and Barring Service"
"home office","gangmasters and labour abuse authority","Home Office","Gangmasters and Labour Abuse Authority"
"home office","home office","Home Office","Home Office (excl agencies)"
"home office","immigration advice authority","Home Office","Immigration Advice Authority"
"home office","independent office for police conduct","Home Office","Independent Office for Police Conduct"
"home office","office of the immigration services commissioner","Home Office","Office of the Immigration Services Commissioner"
"home office","security industry authority","Home Office","Security Industry Authority"
"housing communities and local government","homes england","Ministry of Housing Communities and Local Government","Homes England"
"housing communities and local government","housing communities and local government","Ministry of Housing Communities and Local Government","Ministry of Housing Communities and Local Government"
"housing communities and local government","housing ombudsman service","Ministry of Housing Communities and Local Government","Housing Ombudsman Service"
"housing communities and local government","leasehold advisory service","Ministry of Housing Communities and Local Government","Leasehold Advisory Service"
"housing communities and local government","planning inspectorate","Ministry of Housing Communities and Local Government","Planning Inspectorate"
"housing communities and local government","queen elizabeth ii centre","Ministry of Housing Communities and Local Government","Queen Elizabeth II Conference Centre"
"housing communities and local government","regulator of social housing","Ministry of Housing Communities and Local Government","Regulator of Social Housing"
"housing communities and local government","valuation tribunal service","Ministry of Housing Communities and Local Government","Valuation Tribunal Service"
"justice","children and family court advisory and support services","Ministry of Justice","Children and Family Court Advisory and Support Services"
"justice","criminal cases review commission","Ministry of Justice","Criminal Cases Review Commission"
"justice","criminal injuries compensation authority","Ministry of Justice","Criminal Injuries Compensation Authority"
"justice","hm courts and tribunals service","Ministry of Justice","HM Courts and Tribunals Service"
"justice","hm prison and probation service","Ministry of Justice","HM Prison and Probation Service"
"justice","independent monitoring authority for the citizens rights agreements","Ministry of Justice","Independent Monitoring Authority for the Citizens’ Rights Agreements"
"justice","judicial appointments commission","Ministry of Justice","Judicial Appointments Commission"
"justice","justice","Ministry of Justice","Ministry of Justice"
"justice","legal aid agency","Ministry of Justice","Legal Aid Agency"
"justice","legal services board","Ministry of Justice","Legal Services Board"
"justice","office of the public guardian","Ministry of Justice","The Office of the Public Guardian"
"justice","parole board","Ministry of Justice","Parole Board"
"justice","youth justice board for england and wales","Ministry of Justice","Youth Justice Board for England and Wales"
"levelling up housing and communities","homes england","Department for Levelling Up Housing and Communities","Homes England"
"levelling up housing and communities","housing ombudsman service","Department for Levelling Up Housing and Communities","Housing Ombudsman Service"
"levelling up housing and communities","leasehold advisory service","Department for Levelling Up Housing and Communities","Leasehold Advisory Service"
"levelling up housing and communities","levelling up housing and communities","Department for Levelling Up Housing and Communities","Department for Levelling Up Housing and Communities"
"levelling up housing and communities","planning inspectorate","Department for Levelling Up Housing and Communities","Planning Inspectorate"
"levelling up housing and communities","queen elizabeth ii centre","Department for Levelling Up Housing and Communities","Queen Elizabeth II Conference Centre"
"levelling up housing and communities","regulator of social housing","Department for Levelling Up Housing and Communities","Regulator of Social Housing"
"levelling up housing and communities","valuation tribunal service","Department for Levelling Up Housing and Communities","Valuation Tribunal Service"
"national crime agency","national crime agency","Home Office","National Crime Agency"
"northern ireland office","northern ireland office","Northern Ireland Office","Northern Ireland Office"
"office for standards in education childrens services and skills","office for standards in education childrens services and skills","Office for Standards in Education Children's Services and Skills","Office for Standards in Education Children's Services and Skills"
"office of gas and electricity markets","office of gas and electricity markets","Department for Energy Security and Net Zero","OFGEM"
"office of qualifications and examinations regulation","office of qualifications and examinations regulation","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation"
"office of rail and road","office of rail and road","Office of Rail and Road","Office of Rail and Road"
"office of the secretary of state for wales","office of the secretary of state for wales","Wales Office","Wales Office"
"science innovation and technology","building digital uk","Department for Science Innovation and Technology","Building Digital UK -"
"science innovation and technology","information commissioners office","Department for Science Innovation and Technology","Information Commissioner's Office"
"science innovation and technology","intellectual property office","Department for Science Innovation and Technology","UK Intellectual Property Office"
"science innovation and technology","met office","Department for Science Innovation and Technology","Met Office"
"science innovation and technology","science innovation and technology","Department for Science Innovation and Technology","Department for Science Innovation and Technology"
"science innovation and technology","uk space agency","Department for Science Innovation and Technology","UK Space Agency"
"transport","active travel england","Department for Transport","Active Travel England"
"transport","british transport police authority","Department for Transport","British Transport Police Authority"
"transport","driver and vehicle licensing agency","Department for Transport","Driver and Vehicle Licensing Agency"
"transport","driver and vehicle standards agency","Department for Transport","Driver and Vehicle Standards Agency"
"transport","high speed","Department for Transport","High Speed 2"
"transport","maritime and coastguard agency","Department for Transport","Maritime and Coastguard Agency"
"transport","northern lighthouse board","Department for Transport","Northern Lighthouse Board"
"transport","transport","Department for Transport","Department for Transport"
"transport","transport focus","Department for Transport","Transport Focus"
"transport","trinity house","Department for Transport","Trinity House"
"transport","vehicle certification agency","Department for Transport","Vehicle Certification Agency"
"uk statistics authority","uk statistics authority","United Kingdom Statistics Authority","United Kingdom Statistics Authority"
"uk statistics authority","uk statistics authority","United Kingdom Statistics Authority","Office for National Statistics"
"work and pensions","health and safety executive","Department for Work and Pensions","Health and Safety Executive"
"work and pensions","money and pensions service","Department for Work and Pensions","Money and Pensions Service"
"work and pensions","pensions regulator","Department for Work and Pensions","The Pensions Regulator"
"work and pensions","work and pensions","Department for Work and Pensions","Department for Work and Pensions"
